lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,21,5,0,0,0,100,0,0,100
2,21,5,1,0,0,100,0,0,100
2,21,5,2,0,0,100,0,0,100
2,21,5,3,0,0,100,0,0,100
2,21,5,4,0,0,100,0,0,100
2,21,5,5,0,0,100,0,0,100
2,21,5,6,0,3,97,0,3,97
2,21,5,7,0,4,96,0,4,96
2,21,5,8,0,4,96,0,4,96
2,21,5,9,0,4,96,0,4,96
2,21,5,10,0,4,96,0,4,96
2,21,5,11,0,11,89,0,4,96
2,21,5,12,0,11,89,0,4,96
2,21,5,13,0,11,89,0,4,96
2,21,5,14,0,10,90,0,6,94
2,21,5,15,0,7,93,0,7,93
2,21,5,16,0,10,90,0,8,92
2,21,5,17,0,8,92,0,8,92
2,21,5,18,0,8,92,0,8,92
2,21,5,19,0,7,93,0,7,93
2,21,5,20,0,6,94,0,7,93
2,21,5,21,0,4,96,0,7,93
2,21,5,22,0,4,96,0,7,93
2,21,5,23,0,2,98,0,2,98
